,Rating,Review
3517,1,Bad camera bad display and waste product don't buy. go to realme C21 narzo 30a is better then
3518,1,The Mobile Screen Fully Damaged
3519,1,Bogus camara.. waste of money
3520,5,Price is as cheap as kidney
3521,5,Worth buying earphones from OnePlus
3522,5,Amazing Sound Quality and Bass.
3523,5,Never Settle
3524,5,Just go for it
3525,5,Remarkable Pair of Air Pods from OnePlus
3526,5,Worth the Price 😇😍
3527,5,Best TWS under 5k
3528,5,Much much better than Expected.
3529,5,OnePlus went back to its roots of focusing on core capabilities.
3530,4,Worth the price but needs some refining
3531,4,Bang for buck
3532,4,Luck or duck let's see
3533,4,Better than Realme Buds Air and Neo
3534,4,Good if you want to have a feel of apple air pods in half price and a lot of pain in your ears
3535,4,Review after 4 hours of use
3536,4,"Bass is very good , Low latency but not good for pubg"
3537,4,"A good earphones, wireless is cherry on top."
3538,4,Sound quality good though somewhat depends on device too.
3539,4,Decent buds at decent price (one plus 6T)
3540,3,"Not comfortable to wear, bigger ear plug than normal. Please wear it and check before purchasing"
3541,3,Big Ears You Might Drop Your OnePlus Buds More Often Than Usual.
3542,3,Too big for average Indian ears
3543,3,OnePlus buds Truth!
3544,3,A mixed feeling
3545,3,MIGHT NOT BE COMFY FOR SOME CUSTOMERS
3546,3,"You can go for it , Don't expect too much😑"
3547,3,Excellent product. Except the lack of silicon tip.
3548,3,"Need to improve!, Manufactured in......... ?"
3549,3,Didn't Meet the expectation.!!
3550,2,Good for media consumption not for calls
3551,2,Good only for music
3552,2,Not the Typical One Plus Experience
3553,2,"Disappointed, being OnePlus Fan!"
3554,2,Low footstep sound for PUBG
3555,2,Go for in ear pods the rubber ones
3556,2,A perfect waste of money!
3557,2,I had to return it though...
3558,2,Tgink before u buy... Read the description....
3559,2,0* for Calling
3560,1,Full of cons
3561,1,Waste of money. Don't go for it.
3562,1,YOU MUST KNOW THIS BEFORE BUYING.
3563,1,Defective One Plus Buds - Left Speaker No Sound
3564,1,Disappointing Sound Performance
3565,1,DON'T buy this!
3566,1,"Too big in size, keep falling off my ears. Failure in terms of design."
3567,1,Pricky . Poor Fitment !
3568,1,"The left bud stopped working, just average quality, wouldn't advice to buy"
3569,1,Big mic problem...be careful
3570,5,The Best Headphones Right Now
3571,5,Good for the kid
3572,5,Its sound
3573,3,Marshall should work on making headphones more comfortable to wear
3574,3,Sound quality
3575,1,Fake product sold
3576,1,Not expected from Marshall
3577,5,Read my review to avoid ear pain
3578,5,Just Go for it
3579,5,Extremely good value for money Head phone
3580,5,Highly recommended
3581,5,Better than contemporary brands
3582,5,Worth It - Buy it now 😊
3583,5,Good for pubg... And has a good grip
3584,5,Mind Blowing...
3585,5,Must Buy
3586,5,Best Over the head phones for the price it’s iffered at.
3587,4,Unbiased review
3588,4,Best Bass Heads.... But
3589,4,Worth it!!
3590,4,Jack is not gold plated
3591,4,Everything is good about this headphone
3592,4,Fab bass
3593,4,Editing this review after 10 months. 🎧
3594,4,Value for money.
3595,4,Product Life exactly for 1 year Warranty period
3596,4,Cool stuff.
3597,3,Good buy but hurts the outer ear
3598,3,No base horrible sound quality! If you want an honest rev just read this
3599,3,Serious review (from a music producer)
3600,3,Overall good product but not as good as motorola pulse 2
3601,3,Good Sound but NOT At All Comfortable
3602,3,So-so
3603,3,"Painful at first, but useful for conferences, after loosening it."
3604,3,After 1month of used
3605,3,So far Good!!
3606,3,Conparitively good sound quality
3607,2,Too Tight on the Ears
3608,2,"Very avoidable if you have a little more money, look for other options"
3609,2,Good sound and decent passive noice cancellation but mic is not working after 2 months
3610,2,Mic stopped working after 9 days.
3611,2,Painful review
3612,2,Sits really tight - headset stopped working in 3 months
3613,2,Quality Product with many adjustments. Only drawback: Voice leakage + Loose jack.
3614,2,Doesn't work for long.
3615,2,Main cons of this product
3616,2,Poor quality
3617,1,Bad bad bad quality
3618,1,One Star
3619,1,After 30 days microphone not working
3620,1,Painfull
3621,1,"Not recommended, wastage of money."
3622,1,Distorted sound and poor quality headphones
3623,1,Don't Buy
3624,1,Poor quality- DON'T BUY IT
3625,1,Please suggest how can I repair it
3626,1,Very tight ear piece and loose 3.5mm connector.
3627,5,Complete package
3628,5,Great sound quality for the price
3629,5,It's amazing just go for it guys
3630,5,"Nice product, comfortable"
3631,5,Nice product ( Zebronics Zeb-thunder headset)
3632,5,Worth of Money ... Extremely Good Product
3633,5,"If you can afford it, buy it. If you can not afford it, find a part time job so you can buy it."
3634,5,Happy with the product
3635,5,"Nice product nice quality ,batterly life"
3636,5,Product is nice but delivery service was pathetic
3637,4,Overall nice quality for this price range product..
3638,4,Zebronics thunder woow
3639,4,Zebronics Zeb-Thunder Wireless Blue Tooth Headphone
3640,4,Decent Headphone
3641,4,Up to the mark for price range
3642,4,Pls choz Nother brand. Bad sounds
3643,4,Good headset
3644,4,Loaded with Features
3645,4,Excellent
3646,4,Excellent sound but quality average
3647,3,Updated after replacing.
3648,3,Honest review after using for 2 week's.
3649,3,Product supplied is new or refurbished
3650,3,THESE R SHORTCOMINGS !!
3651,3,Good product
3652,3,Decent headset for video calls
3653,3,Avg. In quality amd sounds and while talking
3654,3,supplier provided a used piece
3655,3,After using it for two months
3656,3,Value for money with a bit compromise.
3657,2,This was a cheating for me from you
3658,2,"Poor Quality product, At same price better product available."
3659,2,Waste Of Money
3660,2,many specs. but low quality
3661,2,Very Poor Quality Battery that gets damaged if charge it on regular basis..
3662,2,Dangerous charging wire provided with this item - heating up in 2 minutes
3663,2,Decent but not outstanding
3664,2,Regret buying this
3665,2,"Bad quality , replaced two times both time got defective or damaged product"
3666,2,Very poor connectivity
3667,1,Speaker Not WORKING
3668,1,Before buying this headphones. You should read this.
3669,1,PROBLEM IN CHARGING
3670,1,Product performance not good.
3671,1,Worst products don't buy
3672,1,*DON'T BUY*
3673,1,Pls Don't buy this Zebratronic Thunder
3674,1,Whom to blame? Had other offer from vendors but I chose the cheapest one from Shiv Enterprise.
3675,1,Bad experience....!!!!?
3676,1,Not recommended
3677,5,Good quality and total VFM!!
3678,5,OP product
3679,5,Value for money 💰
3680,5,Very very Boult
3681,5,Amazing
3682,5,"Good sound quality, reasonable noise blocking, decent mic, quite comfortable"
3683,5,Good sound experience and value for money.
3684,5,Must buy product
3685,5,It's a good product at the price
3686,5,damn good quality
3687,4,Detailed Review & Pros and Cons !!!
3688,4,Good product for moderate usage at Reasonable rate
3689,4,feedback
3690,4,Cheap Packing.......
3691,4,good product
3692,4,A good product for a price range of 499
3693,4,Os it worth for this price
3694,4,It’s an awesome product but the noise cancellation was the worst
3695,4,Decent Headphones with no noice cancellation
3696,4,Overall awesome product!
3697,3,MISLEADING INFORMATION
3698,3,Product is average-Packing was poor!!!
3699,3,Do not buy this product if price is over 500
3700,3,Not as described
3701,3,The sound quality is average . This is a average product.
3702,3,Bad packaging by seller.
3703,3,BadThe seal is broken. Box is almost crushed when it reaches.
3704,3,Ok ok product
3705,3,just fine product
3706,3,Don't buy for more than 500 Rs...
3707,2,Bad experience.. Used product was sent
3708,2,Ear Bud Fell Off
3709,2,Very Bad Product with No Aftersales service
3710,2,Don't Buy This For Desktop
3711,2,Pain in the.. ear
3712,2,Who said it has sound-cancellation?
3713,2,Average product
3714,2,Zero Comfort
3715,2,Bad delivery experience for headphones
3716,2,"Wouldn't recommend, stopped working within a month"
3717,1,Misleading product description
3718,1,Bad quality at this price point
3719,1,Defective product.. right side not working
3720,1,Worst experience
3721,1,Pathetic Experience
3722,1,Very deceptive description from the seller and Amazon
3723,1,Not good
3724,1,Don't purchase its waste of money
3725,1,"Bad, I mean, very bad..."
3726,1,I won't recommend it
3727,5,Expensive but the way to go! my FIRST Noise Cancellation Headphones!
3728,5,Bose QC35 beater
3729,5,Trust me it's worth it !
3730,5,Best Noise Cancelling Headphones
3731,5,My honest review of XM3s and parallel with bose
3732,5,Unique and awesome but can be improved!
3733,5,"Nothing to say, It's awesome."
3734,5,The Best ANC headphone you should buy.Period
3735,5,"Better than ATH M50x, Sennheiser HD598 in noisy environments!"
3736,5,Just Awesome if you are a music lover
3737,4,Buy it or you'll regret not buying.
3738,4,A good pick for everyone especially commuters and casual listeners! 🎧
3739,4,Great noise cancelling... Bad default sound
3740,4,The sony xm3 luck
3741,4,"Debatable on the ""best noice cancelling"" but great otherwise"
3742,4,Only good thing about these pair of headphones is active noise cancellation.
3743,4,Amazing performance for music not for taking calls
3744,4,Nothing extraordinary experience
3745,4,Honestly wonderful but not perfect yet.
3746,4,Brilliant Product
3747,3,Not that goood. Battery backup was poor for my device.
3748,3,Sony wh 1000 mx3 microphone issue
3749,3,Underwhelmed by these headphones
3750,3,Great sound but static/distortion sound from left earcup with noise cancellation on
3751,3,Pathetic After Sales Service of an Excellent Product!!
3752,3,Bose QC35 vs Sony 1000MX3
3753,3,Amazing Sound quality but this one is not for me
3754,3,Good product - but has one annoying flaw
3755,3,Amazing sound + noise cancellation
3756,3,Just not worth it!
3757,2,Too many CONS
3758,2,Pathetic SONY Support + Superb Sound Quality + good ANC
3759,2,Headphones ANC struggles when it comes to human voices
3760,2,Go for Bose and not this one
3761,2,Seemingly flawless till problems develop
3762,2,Brutally Honest Review
3763,2,Decent sound quality but bad bluetooth connectivity
3764,2,Returned the product
3765,2,Great headset for sound and noise cancellation
3766,2,Do not update your firmware
3767,1,"Do not buy these, read my experience!!"
3768,1,Highly disappointed.
3769,1,Poor build quality. Develops cracking noise in band within a month of purchase
3770,1,Terrible buy !!!!
3771,1,Do read this
3772,1,No.1 Headphones on Earth but dead in 5 days due to battery issue
3773,1,Defective Manufacturing of Sony WH1000MX3 & pathetic after sales service.
3774,1,overrated.. bose is better
3775,1,Sony service is the worst in the world. I have never come across such poor quality of service.
3776,1,one rating because no one hear me on a call
3777,5,Read if you're considering whether to buy it or not.
3778,5,Truly a light weight headphone with an excellent battery life
3779,5,Awesome product of JBL (harman)
3780,5,Better than JBL infiny 501.
3781,5,Very very very good and listening experience headphones
3782,5,Best value product for Music lovers..
3783,5,Marvellous Creation by Harman
3784,5,AWESOME PRODUCT FOR HEAVY DEEP BASS LOVERS + LIGHTWEIGHT & EXCELLENT BATTERY LIFE
3785,5,[Video Review] A great headphone at a great price
3786,5,Classic affordable headphone
3787,4,If your going for on-ear headphone this is the one🔥🔥😍
3788,4,Best budget headphones under 1699
3789,4,Good sound and battery
3790,4,Not recommended for gaming
3791,4,Best headphones at price 1500
3792,4,Overall a good product (With 2 days usage)
3793,4,Descent Product from Nasty China
3794,4,Good product with amazing battery backup
3795,4,Buy if budget constraint and usage is other then listening music
3796,4,Honest feedback after a week of usage
3797,3,"SOUND QUALITY IS GOOD, BUT THE HEADPHONES ARE TIGHT AND MAY GIVE YOU PAIN ON LONG USAGE."
3798,3,Read my complete review
3799,3,"Good for Basic Use, Hands-free Calls"
3800,3,"If you can spent a little more, go for JBL"
3801,3,Not impressed with the sound quality
3802,3,Good
3803,3,Uncomfortable to wear
3804,3,"with 20hrs function, at this price point really worth buying it! go ahead and grab it!!"
3805,3,Medium Quality!!! Not comfortable to wear
3806,3,"Good enough, but not problem free"
3807,2,Can't use these headphones for more than an hour
3808,2,below average sound quality and bass level is too low
3809,2,Disappointed with Bluetooth headset
3810,2,This headphone was a let down. The worst is the voice lag and delayed sounds it gives.
3811,2,Bad quality product.
3812,2,Read this review and then make a decision yourself..
3813,2,Pain on the ear & waste of money
3814,2,Mixed feelings
3815,2,Bad sound quality
3816,2,Very poor plastic used build quality bad.
3817,1,Made in China Products
3818,1,Mimatch
3819,1,Worst product
3820,1,Highly disappointed with product
3821,1,Basic Bluetooth functionality missing. Wrong selling point of 72 hours battery life.
3822,1,Disappointed —- Infinity (JBL)
3823,1,Cheap plastic headphones
3824,1,Bluetooth is getting disconnected
3825,1,Very poor quality and shameless customer care
3826,1,Made in china
3827,5,Superb quality
3828,5,Value For Money Product
3829,5,Honest review
3830,5,Review after thoroughly used.
3831,5,Super Duper.... Really Rocking...
3832,5,"Great deal, grab it ,ASAP!"
3833,5,"Best at this price, way comfortable and light weight."
3834,5,BOAT rockerz - value for money
3835,5,Buy it's trending
3836,5,Best Buy @999
3837,4,Worth a penny if you get it for 999 INR
3838,4,"Didn't expect BOAT to wow me, it's a YES!!!"
3839,4,Sound quality is good. Not comfortable on ears if you wear it ...
3840,4,Must watch this detailed 👉 REVIEW ☺️
3841,4,Very Good
3842,4,Overall good.. worth the price
3843,4,Loving It
3844,4,Average Headphones and overhyped too
3845,4,"Great piece of technology, but..."
3846,4,BUDGET FRIENDLY [ DETAILED REVIEW ]
3847,3,Review after heavy usage.
3848,3,Long term review
3849,3,Sound Quality is good but...
3850,3,Don’t have high expectations and this will serve you good
3851,3,"Poor Noise cancellation, Avg Sound, Good Build Quality. Decent Price"
3852,3,I Stopped using it.
3853,3,11 months the power button is giving up
3854,3,Once replace by BoAT (not working AUX plug) still value for money for game pro
3855,3,Don't take if you use the headphones for long hours.
3856,3,"Good product, not great one though"
3857,2,2 stars
3858,2,Gave me ear pain
3859,2,PLEASE READ MT REVIEW BEFORE BUYING IT OR YOU WILL REGRET IT.
3860,2,Not returnable
3861,2,Why I can't play pubg with this headphones ?
3862,2,"Average Sound Quality, Uncomfortable for Long Listening Sessions"
3863,2,Cracking sound during every ads or video change in Youtube...
3864,2,Rockerz 400 is probably the worst gadget from boAt
3865,2,Poor connectivity for mic
3866,2,Don't buy if you want to use this for phone conversations.
3867,1,Boat Rockerz 400
3868,1,Highly overrated product
3869,1,Disappointing Bluetooth | Bad with Low Frequency Music
3870,1,Not for the people looking for bass!!!
3871,1,Uncomfortable with Poor Performance
3872,1,Don’t waste your hard earned money on this..!
3873,1,I get ear pain . SONY is better option
3874,1,Read this before you decide to buy.
3875,1,Ear pain after 1hour use
3876,1,Terrible!!!!!!!!!
3877,5,PLUG INTO NIRVANA
3878,5,Premium look and super comfy
3879,5,Poor material..and good service...
3880,5,BOAT ROCKERZ 450 ( 7/10 )
3881,5,Detailed Review: compared with Sony headphones in the same price range
3882,5,Awesome headphones @1399/- (lighting deal)
3883,5,My 15 Days Experience Worth To Read!!!
3884,5,Superb!
3885,5,"Great Bass and sound, premium quality and look"
3886,5,Best for the price range
3887,4,Really Good bass at price of 1999
3888,4,"Plug into Nirvana - Good looking, Easy to carry, Quality headphone around Rs. 1.5 K"
3889,4,Aint Good as RockerZ-510
3890,4,Two things : Bass and Battery
3891,4,Mediocre Headphones! 😑
3892,4,It's going to blow your mind!!!
3893,4,Review after 3 days of use-
3894,4,Overall good must read for detailed experience
3895,4,Best in state
3896,4,Good quality;worth the price
3897,3,Decent headphones with some evident drawbacks
3898,3,Not durable.
3899,3,Good headphone at 1400rs price bracket
3900,3,Evaluation.....
3901,3,Decent Headphones
3902,3,Disappointed by Boat
3903,3,Good Sound but bad mic
3904,3,Must know before buying.
3905,3,The speaker on the left ear was not working well.
3906,3,Nice headphones.
3907,2,Boat makes the best value Products that only last briefly
3908,2,Technically all good but a fragile piece
3909,2,Not satisfactory
3910,2,Good one as we can upgrade to 450 from 400 but these are not strong enough broke of within 4months
3911,2,Not soo good as expected 😟☹️
3912,2,"No return, no sony smart tv connection, no noise cancellation, low sound on watsapp video call"
3913,2,sound not impressive I think boat 450 rating as per rate 1500/- rating 2/5 .
3914,2,Good quality headphones (edit:pls read the 2nd review after 5month usage)
3915,2,"Appearance: 5 star, Sound: 1 star (very bad)"
3916,2,Connectivity issues
3917,1,Not durable at all!!!
3918,1,Simply Awful
3919,1,Tenuously fragile and worthless
3920,1,Poor build quality
3921,1,Very poor cheap
3922,1,HEAVY HEADPHONE
3923,1,Please refund my money back
3924,1,Bang for the buck but quality is poor.
3925,1,Bad experience.
3926,1,Totally a no for anyone considering to buy it for build quality.
3927,5,"Good sound, affordable price - Value for money"
3928,5,Amazing Product
3929,5,"Best compared to ""mi basic"" earphones"
3930,5,Good value for money
3931,5,Great Experience!
3932,5,Best product for best price
3933,5,Amazing earphone
3934,5,"Great sound quality, light and comfortable."
3935,5,Best budget earphones !!
3936,5,most affordable JBL genuine quality sound output. Go for this price without a thought.
3937,4,True JBL Sound in pocket friendly price but use carefully
3938,4,JBL black
3939,4,🎧
3940,4,Best earphones at this price rat
3941,4,Best sound in this price range
3942,4,Budget headphone king?
3943,4,So comfortable!!!!!
3944,4,"Good earphone, but hold your horses."
3945,4,Delicate but Good Budget headphones : Medium Bass and nice music clarity
3946,4,Average sounding earphones
3947,3,Good sound but average build
3948,3,Sound quality good built quality not so good
3949,3,Very basic
3950,3,3 Star. Bought after checking lot of reviews
3951,3,NOT ORIGINAL
3952,3,Average
3953,3,Okaish sound. Stopped working in 4 months.
3954,3,Average quality
3955,3,good for low price range
3956,3,Not impressive
3957,2,Don't buy read full review.
3958,2,Average.
3959,2,Average Product. Not worth buy
3960,2,Stopped working twice
3961,2,Microphone stopped working in just 5 months!
3962,2,Mic and one side earphone has stopped working ...not even 3months
3963,2,"Not satisfied, No Return option, Only Replacement"
3964,2,Dissatisfied twice
3965,2,Sounds great but not durable
3966,2,Below Average
3967,1,No Bass
3968,1,Bad delivery
3969,1,DON'T GO FOR IT!
3970,1,"No quality, we expected from JBL. Buying means wasting money."
3971,1,Worst product by JBL.
3972,1,Buy at your own risk
3973,1,Stopped working in 2 months
3974,1,Not good at all!!
3975,1,One side of the earpiece has stopped working.
3976,1,Good for a short period
3977,5,Sony VS JBL
3978,5,Recommended for everyone those who loves music..JBL C100SI
3979,5,Don't think. Just buy!!!
3980,5,MUST READ BEFORE PURCHASE TO CLEAR DOUBT
3981,5,Amazing experience
3982,5,"Costly, but worth it😊👌"
3983,5,Very good Sound quality
3984,5,It is definitely worth the money spent.
3985,5,Simply Awesome...!!
3986,5,Mind Blowing product!!!!!!!! DEFINITELY RECOMMENDED
3987,4,boAt 225 vs JBL CS100 vs Sennheisers cx180 | DETAILED Comparison after 1 YEAR of USE.
3988,4,Awesome Earphones
3989,4,JBL does it again!
3990,4,"Reliable, durable, budget friendly & simply amazing!"
3991,4,Value for money
3992,4,AMAZING headphone... I Loved this[:*]
3993,4,Name is not everything
3994,4,All Rounders
3995,4,Great product for such price..
3996,4,Not comfortable
3997,3,JBL WORST CUSTOMER SERVICE
3998,3,Could be better
3999,3,Harsh at full volume....
4000,3,Better than average. Broke after 13months.
4001,3,Average product
4002,3,Best headphones at this budget
4003,3,Warranty
4004,3,Highly overpriced but ok
4005,3,Sound quality terrible. Replacement ones acceptable
4006,3,BEWARE OF IT'S DURABILITY!!!!!! Though it sounds really good and all. BUT...>>>>>
4007,2,Comparing with CX180 & SONY MDR-EX150AP
4008,2,Not Durable
4009,2,Comparison Boat100 & JBL100.
4010,2,It's OK but very uncomfortable
4011,2,"Not happy with Mic, sound is Ok, overall Average"
4012,2,Online SKU is not the same as JBL SKU
4013,2,"There are other compelling choices, overpriced, not worth more than ~₹300"
4014,2,Good ear phones
4015,2,These don't last long
4016,2,Cheaper Boat Basshead 152 are a lot better
4017,1,It worked fine for around 1
4018,1,Thugged on Amazon. Chinese product sold but description says Origin India
4019,1,Not worth buying.
4020,1,Stopped working after 2 months
4021,1,Left speaker not working
4022,1,3rd class itom
4023,1,Overall good but three problems with it.
4024,1,Sound Is So Loud it make you deaf
4025,1,Don't Buy JBL....!!!
4026,1,Extremelly poor service from JBL
4027,5,"Amazing, recommend for gaming/meetings, not for music though."
4028,5,Up to mark
4029,5,very good product
4030,5,Go for it people 👍
4031,5,Best Gaming Headphones under ₹1100!
4032,5,I am so much impressed with this Headphone
4033,5,Best Headphones🎧ever & Rgb light is awesome 😍
4034,5,My experience with product
4035,5,the reason why u should buy this over gs 410 and gs 420
4036,5,Fantastic product
4037,4,Four starts only for bad packing
4038,4,Budget gaming headphones
4039,4,The Quality And RGB
4040,4,Best Budget Gaming Headset
4041,4,Best Overall
4042,4,Its got Good Bass!!!
4043,4,Not so bad
4044,4,Good Build Quality and Decent Sound Output.
4045,4,Go for it..min budget good quality.. Best for office use..
4046,4,"Switch to God Mode , You get what you payed for :)"
4047,3,Nice product but sound is low but why sound is low ? see my review to end
4048,3,"Not too Good, Not too bad"
4049,3,Decent product for price but very bad packaging
4050,3,Dont buy lighting effects
4051,3,Bad Packing and Refurbished product.
4052,3,Good headphones but one side not working after 3 months
4053,3,NOT FOR PUBG . Ingame Mic ON Audio Supressed
4054,3,"The quality of the headphone is great , but it is too heavy to be used for an hour or more!"
4055,3,ITS INTENDED FOR GAMING
4056,3,Good for budget and casual gaming.
4057,2,Don't Buy
4058,2,Not a comfortable headphone at all
4059,2,Comfort and footsteps problem
4060,2,Its is show piece headset
4061,2,Very bad.
4062,2,Not a good product
4063,2,Uncomfortable
4064,2,One year warranty???
4065,2,Too tight around ears.
4066,2,PAINFUL EXPERIENCE
4067,1,Headphone
4068,1,USB cannot be used for audio.
4069,1,Don't Buy
4070,1,"Bad sound quality, certainly not for gaming, money waste"
4071,1,"Mic Not Working Properly, TOO much of Noise and the Mic works like a piece of Garbage"
4072,1,very poor experience
4073,1,Bad product
4074,1,Item missing
4075,1,Wastage of money
4076,1,3 points review
4077,5,more than expected !!
4078,5,"Good product, recommended 👍"
4079,5,Very nice product at such a cost. True value
4080,5,Nice product
4081,5,Awesome Headphone
4082,5,Must have product
4083,5,Good product
4084,5,Best Headphones at this Price Range.
4085,5,Simply amazing and worth the money 😍
4086,5,Very Good Quality
4087,4,Good Value For Money
4088,4,Acceptable under Rs700/-
4089,4,Build quality
4090,4,Best purchase... Love it...
4091,4,Good one.
4092,4,Really good product better than LEAF and Iball go for it
4093,4,"Budget friendly headphone, with decent sound quality and bluetooth battery backup, Go for it"
4094,4,..You can gor for it..
4095,4,Best Headphones Under 1000 Rupees
4096,4,Excellent
4097,3,Average headphones
4098,3,Just an average headphone
4099,3,Beginner's affordable wireless headset
4100,3,"Ordered twice, Buttons not working."
4101,3,Warranty issue
4102,3,Gets disconnected every few minutes
4103,3,"Ok, Works Well but not Very Good."
4104,3,Review after half a year of usage
4105,3,Don't buy
4106,3,Bit disappointed :(
4107,2,Different than before. Didn't like it.
4108,2,It's not a good choice for music lovers at all.
4109,2,Fake warranty and they don't have service center
4110,2,Not good for vocal musics because of high bass.
4111,2,Battery Bea
4112,2,OK product. Received with defective volume button
4113,2,Keeps switching off every 10 mins
4114,2,Surprised it got 4 stars. Nit worth more than Rs. 500 I think
4115,2,Poor in aux connectivity
4116,2,Poor headphones
4117,1,pTron Studio Over The Ear Wireless Bluetooth Headphones with Mic - Review
4118,1,painful on ears
4119,1,Not good for me.
4120,1,Pathetic calling feature sound good
4121,1,Recieved a damaged piece
4122,1,Not good
4123,1,Don't buy it
4124,1,Old stock
4125,1,Don't buy this product!!
4126,1,Disgusting
4127,5,Not for me (too much bass)
4128,5,Go for it if :
4129,5,Best Wireless Neckband Earphones from OnePlus Brand
4130,5,"Awesome, Better then normal Ones"
4131,5,For a True Music Lover - An Amazing Musical Experience that Every One Should Enjoy..
4132,5,Just Go for it..👍✌
4133,5,Sound and looks.
4134,5,Best headphones for the price
4135,5,Best purchase but read the review
4136,5,Near perfection for under 2k
4137,4,The Perfect VFM buy in entry level wireless headphones
4138,4,This is different from normal Z and Z Bass
4139,4,Music quality is excellent never expected high quality at this price
4140,4,"Bass Reverb Version doesn't have Quick Switch , take Classic Version if you are looking for it"
4141,4,"Not Bad at all.Better distance than Jabra,Anker."
4142,4,Though the mention 1 year warrenty I didnt get any sort of information along with the package
4143,4,Beast
4144,4,ONEPLUS BULLETS WIRELESS Z BASS EDITION
4145,4,Good but chose it carefully.
4146,4,Good product. Detailed review below.
4147,3,"Average bullet , no woww factor after using for a day"
4148,3,Review after 1 month of daily usage. Promising but not there yet.!
4149,3,Almost disappointed
4150,3,Reverb Red -bass edition
4151,3,"Above average product, not for bass lover even though this is claimed to be bass version"
4152,3,its good for the price
4153,3,Found it not bad but not good enough either.
4154,3,BASS edition?? More like BASE edition
4155,3,"Good one from 1+ at this price point, must buy if you are not a music lover"
4156,3,Quick Switch function missing
4157,2,No bass only hype...
4158,2,Don’t buy!
4159,2,Lasted for a month
4160,2,Don't forget to check if both the ears produce same sound quality
4161,2,NO MULTIPLE DEVICE CONNECTIVITY
4162,2,Iphone use stay away from this headphone...
4163,2,Warranty issue
4164,2,How's the voice quality
4165,2,Bad for calling. Ok for audio listening
4166,2,NOT FOR CALLS BUT GOOD FOR MUSIC
4167,1,Stay Away
4168,1,Great for calls and laptop to phone switch is very easy if u need it.
4169,1,No Quick Switch Button
4170,1,Do not buy if you are an iPhone user
4171,1,Not Really Happy With this Oneplus Headphone
4172,1,For music awesome but for phone call worst
4173,1,Not Worth 1999.
4174,1,Don't Buy this headset from Amazon !!!!!!!!!!! Fakeeeee
4175,1,Not great support for non OnePlus devices
4176,1,Quality is not at par
4177,5,Just amazing
4178,5,Good depth of sound
4179,5,Simply acoustic and amazing sound production !!!
4180,5,High 5
4181,5,Marshall Delivers!
4182,5,Sturdy build and solid sound. True blue marshall product
4183,5,"The best, most satisfied purchase I've ever made!☺️👌🏾"
4184,5,Premium Quality from Marshall!
4185,5,Mindblowing but with a GLITCH!!
4186,5,Well balanced earphones at the price range.
4187,4,Very satisfying headphones!
4188,4,"If you want decent sound signature at 3k, look no further."
4189,4,an ok product nothing out of this world.
4190,4,Vintage Marshall and best in segment sound
4191,4,BEST EARPHONES EVER FOR THIS PRICE.
4192,4,Great product but beware of shipper
4193,4,Sounds good...not a comfortable fit
4194,4,A very good built average sounding earbuds. 😃
4195,4,Good Earphone
4196,4,"Good Accuracy, Low Bass...But worth it"
4197,3,Flimsy but makes up for it with good sound
4198,3,Don't buy before reading this review.
4199,3,Not good. Suitable for calls. Not for music
4200,3,"Looks amazing , performs average ."
4201,3,Normal earphones .
4202,3,Good product low build quality
4203,3,It's an very bad for the price
4204,3,"Substandard earphones,"
4205,3,Not worth the money
4206,3,Overpriced earphones
4207,2,Disappointing
4208,2,Not for music
4209,2,STOPPED WORING AFTER 3 MONTHS
4210,2,Half Life
4211,2,WARNING DON'T BUY
4212,2,Never Buy
4213,2,Wire
4214,2,Really??? Marshall??
4215,2,Below average
4216,2,Mode eq vs Mdr xb
4217,1,Does not work with most new Android phone models
4218,1,"Over priced, buy Sennheiser cx275s instead better than this."
4219,1,No go
4220,1,Pathetic sound quality!
4221,1,Don't go for aesthetics and Marshal brand!
4222,1,bad quality don't suggest this to anybody
4223,1,left side earphone stopped working
4224,1,Fake
4225,1,Poor Build Quality
4226,1,Seal already broken
4227,5,Read my review to avoid ear pain
4228,5,Just Go for it
4229,5,Extremely good value for money Head phone
4230,5,Highly recommended
4231,5,Better than contemporary brands
4232,5,Worth It - Buy it now 😊
4233,5,Good for pubg... And has a good grip
4234,5,Mind Blowing...
4235,5,Must Buy
4236,5,Best Over the head phones for the price it’s iffered at.
4237,4,Unbiased review
4238,4,Best Bass Heads.... But
4239,4,Worth it!!
4240,4,Jack is not gold plated
4241,4,Everything is good about this headphone
4242,4,Fab bass
4243,4,Editing this review after 10 months. 🎧
4244,4,Value for money.
4245,4,Product Life exactly for 1 year Warranty period
4246,4,Cool stuff.
4247,3,Good buy but hurts the outer ear
4248,3,No base horrible sound quality! If you want an honest rev just read this
4249,3,Serious review (from a music producer)
4250,3,Overall good product but not as good as motorola pulse 2
4251,3,Good Sound but NOT At All Comfortable
4252,3,So-so
4253,3,"Painful at first, but useful for conferences, after loosening it."
4254,3,After 1month of used
4255,3,So far Good!!
4256,3,Conparitively good sound quality
4257,2,Too Tight on the Ears
4258,2,"Very avoidable if you have a little more money, look for other options"
4259,2,Good sound and decent passive noice cancellation but mic is not working after 2 months
4260,2,Mic stopped working after 9 days.
4261,2,Painful review
4262,2,Sits really tight - headset stopped working in 3 months
4263,2,Quality Product with many adjustments. Only drawback: Voice leakage + Loose jack.
4264,2,Doesn't work for long.
